Date,Close,Volume
2024-05-30,38054.13,117300000
2024-05-31,38487.9,211000000
2024-06-03,38923.03,115900000
2024-06-04,38837.46,117900000
2024-06-05,38490.17,119400000
2024-06-06,38703.51,118900000
2024-06-07,38683.93,96200000
2024-06-10,39038.16,89200000
2024-06-11,39134.79,93300000
2024-06-12,38876.71,108200000
2024-06-13,38720.47,115900000
2024-06-14,38814.56,157100000
2024-06-17,38102.44,107500000
2024-06-18,38482.11,97100000
2024-06-19,38570.76,93600000
2024-06-20,38633.02,88000000
2024-06-21,38596.47,140800000
2024-06-24,38804.65,93500000
2024-06-25,39173.15,108300000
2024-06-26,39667.07,108900000
2024-06-27,39341.54,115000000
2024-06-28,39583.08,124300000
2024-07-01,39631.06,118800000
2024-07-02,40074.69,135100000
2024-07-03,40580.76,125600000
2024-07-04,40913.65,118000000
2024-07-05,40912.37,114200000
2024-07-08,40780.7,113000000
2024-07-09,41580.17,118200000
2024-07-10,41831.99,134400000
2024-07-11,42224.02,123000000
2024-07-12,41190.68,130400000
2024-07-16,41275.08,100800000
2024-07-17,41097.69,109900000
2024-07-18,40126.35,117600000
2024-07-19,40063.79,99800000
2024-07-22,39599.0,82700000
2024-07-23,39594.39,88300000
2024-07-24,39154.85,110300000
2024-07-25,37869.51,143000000
2024-07-26,37667.41,124000000
2024-07-29,38468.63,107300000
2024-07-30,38525.95,109700000
2024-07-31,39101.82,146400000
2024-08-01,38126.33,178800000
2024-08-02,35909.7,204300000
2024-08-05,31458.42,285600000
2024-08-06,34675.46,251200000
2024-08-07,35089.62,242800000
2024-08-08,34831.15,165300000
2024-08-09,35025.0,176900000
2024-08-13,36232.51,140700000
2024-08-14,36442.43,135600000
2024-08-15,36726.64,119700000
2024-08-16,38062.67,129500000
2024-08-19,37388.62,107800000
2024-08-20,38062.92,110600000
2024-08-21,37951.8,94800000
2024-08-22,38211.01,92800000
2024-08-23,38364.27,89800000
2024-08-26,38110.22,91700000
2024-08-27,38288.62,84300000
2024-08-28,38371.76,88700000
2024-08-29,38362.53,106500000
2024-08-30,38647.75,136600000
2024-09-02,38700.87,87100000
2024-09-03,38686.31,91200000
2024-09-04,37047.61,144400000
2024-09-05,36657.09,111300000
2024-09-06,36391.47,111700000
2024-09-09,36215.75,118200000
2024-09-10,36159.16,112300000
2024-09-11,35619.77,127600000
2024-09-12,36833.27,126300000
2024-09-13,36581.76,115900000
2024-09-17,36203.22,127300000
2024-09-18,36380.17,99900000
2024-09-19,37155.33,114100000
2024-09-20,37723.91,162600000
2024-09-24,37940.59,113500000
2024-09-25,37870.26,108200000
2024-09-26,38925.63,141000000
2024-09-27,39829.56,161900000
